age_group,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,dale_chall,smog_index,avg_sentence_length,vocab_richness,avg_word_length,long_word_ratio,num_sentences,num_words,content_word_ratio,violence_score,profanity_score,adult_score,drug_score,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,dialogue_ratio,exclamation_ratio,question_ratio
+10,60.35899884035564,8.643316582914576,10.344182450715117,9.315259025898724,11.362043627235082,15.533333333333333,0.7537688442211056,4.9296482412060305,0.2663316582914573,15.0,199.0,0.628140703517588,0.0,0.0,0.0,0.0,0.156,0.023,0.821,0.9648,0.24322103533278555,0.35714285714285715,0.07142857142857142
+10,63.280891122278064,7.728723618090452,8.522747068676717,9.452064355108877,9.725611199111238,15.866666666666667,0.7437185929648241,5.0201005025125625,0.2663316582914573,15.0,199.0,0.6080402010050251,0.0,0.0,0.0,0.0,0.147,0.077,0.776,0.9319,0.06993569131832797,0.07142857142857142,0.14285714285714285
+4,94.65562500000003,3.463779761904764,5.69404761904762,6.208238988095238,6.18269132825596,15.928571428571429,0.5208333333333334,3.703125,0.052083333333333336,14.0,192.0,0.5104166666666666,0.0,0.0,0.0,0.0,0.254,0.025,0.721,0.994,0.25961538461538464,0.0,0.0
+10,73.90038473618091,6.041529522613068,7.387060301507538,8.93485728643216,8.472884824447931,22.272727272727273,0.7230769230769231,4.4051282051282055,0.2,11.0,195.0,0.5641025641025641,0.0,0.0,0.0,0.0,0.142,0.021,0.836,0.9739,0.0,0.05555555555555555,0.1111111111111111
+12,60.030330578512434,7.61900826446281,11.672727272727274,9.271438842975208,11.389717465364857,18.125,0.7310924369747899,4.663865546218488,0.23529411764705882,8.0,119.0,0.47058823529411764,25.2101,0.0,0.0,0.0,0.034,0.112,0.853,-0.8813,0.0,0.0,0.05
+10,56.78486013986017,9.122727272727271,9.930691530691531,9.336289588189587,10.891193690592665,24.2,0.7817258883248731,4.9543147208121825,0.2182741116751269,10.0,197.0,0.6294416243654822,0.0,0.0,0.0,0.0,0.147,0.03,0.823,0.974,0.0,0.07692307692307693,0.07692307692307693
+4,88.31750000000001,3.9219444444444456,5.355555555555556,6.863366666666667,5.985473137389441,14.083333333333334,0.5833333333333334,4.097222222222222,0.10416666666666667,12.0,144.0,0.5625,0.0,0.0,0.0,0.0,0.31,0.086,0.604,0.9931,0.0,0.3333333333333333,0.0
+4,66.23250000000003,7.3750000000000036,10.585185185185185,9.86184074074074,11.698219412168324,23.0,0.7454545454545455,4.527272727272727,0.21818181818181817,3.0,55.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.239,0.0,0.761,0.8702,0.2861635220125786,0.25,0.0
+12,65.73696192893402,8.984370558375637,10.316548223350253,8.941843350253809,11.003577315987393,29.375,0.678391959798995,4.241206030150754,0.135678391959799,8.0,199.0,0.5226130653266332,20.1005,0.0,0.0,5.0251,0.18,0.09,0.731,0.9651,0.0,0.0,0.0
+10,64.13114237855947,7.6101306532663315,7.919731993299833,8.817290485762143,9.888512548439397,15.933333333333334,0.7839195979899497,4.809045226130653,0.19597989949748743,15.0,199.0,0.5829145728643216,5.0251,0.0,0.0,0.0,0.216,0.021,0.764,0.993,0.2646076794657763,0.2857142857142857,0.07142857142857142
+4,90.88181818181822,2.8189898989899014,3.6,7.43229393939394,5.565023196281405,9.75,0.5959595959595959,3.6565656565656566,0.050505050505050504,12.0,99.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.218,0.027,0.755,0.9778,0.0,0.3333333333333333,0.0
+10,59.3384540348803,7.890872007094298,9.305468519065917,10.485503724504877,10.590485417798838,12.25,0.7738693467336684,5.175879396984925,0.271356783919598,20.0,199.0,0.6934673366834171,0.0,0.0,0.0,0.0,0.265,0.04,0.695,0.9949,0.1807511737089202,0.21052631578947367,0.05263157894736842
+10,49.711459380234544,10.445339195979901,12.060469011725294,10.092651423785595,12.745084868956482,20.083333333333332,0.8232323232323232,5.2727272727272725,0.30303030303030304,12.0,198.0,0.6767676767676768,5.0505,0.0,0.0,0.0,0.206,0.015,0.778,0.9913,0.21223857474825716,0.18181818181818182,0.2727272727272727
+12,55.40433333333334,9.672,12.866666666666669,9.989666666666666,12.457975602129121,17.53846153846154,0.775,4.805,0.26,13.0,200.0,0.555,0.0,0.0,0.0,0.0,0.181,0.014,0.806,0.9885,0.0,0.16666666666666666,0.0
+12,59.768304020100516,8.454073941134244,10.509834888729362,10.371880330222542,11.062562989136584,20.083333333333332,0.7564766839378239,5.290155440414508,0.2694300518134715,12.0,193.0,0.6113989637305699,0.0,0.0,0.0,0.0,0.194,0.008,0.798,0.9901,0.133852140077821,0.14285714285714285,0.07142857142857142
+12,63.01750000000001,7.575000000000003,9.600000000000001,8.75665,10.270032843473604,13.666666666666666,0.715,4.69,0.205,18.0,200.0,0.55,0.0,0.0,0.0,0.0,0.089,0.0,0.911,0.9355,0.5062761506276151,0.058823529411764705,0.11764705882352941
